"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate","avgBets"
"Min","MFTAGt , MFTHGt , MFTAGm","Low",-847.333333333333,0.461132508558979,100.666666666667
"Min","MFTAGt , MFTHGt , MFTAGm","Max",251,0.715542328042328,20.3333333333333
"Min","MFTAGt , MFTHGt , MFTAGm","Med",293,0.548170194003527,58.3333333333333
"Min","MFTAGt , MFTHGt , MFTAGm","Min",-1439,0.484052122532515,139.333333333333
"Min","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Low",-972.333333333333,0.520446950710109,107.666666666667
"Min","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Max",103.666666666667,0.694940476190476,21.6666666666667
"Min","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Med",-30,0.590563801278087,62
"Min","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Min",-1517.66666666667,0.527320180945942,153.666666666667
"Min","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-1055.33333333333,0.508449074074074,181.666666666667
"Min","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",133.333333333333,0.629861111111111,24.6666666666667
"Min","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",110.333333333333,0.553552532123961,104
"Min","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-1639.66666666667,0.508566760037348,256
"Min","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Low",-1265,0.485300925925926,175.333333333333
"Min","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Max",115.666666666667,0.612433862433862,23.6666666666667
"Min","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Med",172,0.537178760393046,100
"Min","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Min",-2085.66666666667,0.480528322440087,244.666666666667
"Min","MFTAGt , MFTHGt , MFTHGm","Low",-1030.66666666667,0.50901037315511,96
"Min","MFTAGt , MFTHGt , MFTHGm","Max",-30,0.595238095238095,19.6666666666667
"Min","MFTAGt , MFTHGt , MFTHGm","Med",22.6666666666667,0.601001511715797,57.6666666666667
"Min","MFTAGt , MFTHGt , MFTHGm","Min",-1533.33333333333,0.517462732219324,135
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Low",-777.333333333333,0.516809964726631,177
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Max",99.3333333333333,0.613128306878307,23.3333333333333
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Med",217.333333333333,0.55551776266062,100
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Min",-1440,0.512422191098662,252.333333333333
"Min","MFTAGt , MFTHGt , OddO2.5","Low",-751,0.486005195153746,159
"Min","MFTAGt , MFTHGt , OddO2.5","Max",137.333333333333,0.537169312169312,17.6666666666667
"Min","MFTAGt , MFTHGt , OddO2.5","Med",360.333333333333,0.521991104133961,88.3333333333333
"Min","MFTAGt , MFTHGt , OddO2.5","Min",-1566.66666666667,0.479543332484509,227.333333333333
"Min","MFTAGt , OddO2.5","Low",-618.333333333333,0.487886521355724,159
"Min","MFTAGt , OddO2.5","Max",113.333333333333,0.523280423280423,17.3333333333333
"Min","MFTAGt , OddO2.5","Med",394,0.517380370951799,88
"Min","MFTAGt , OddO2.5","Min",-1296,0.485155358439672,228
"Min","MFTHGm","Low",-636.666666666667,0.546759259259259,63.6666666666667
"Min","MFTHGm","Max",17,0.615277777777778,12.6666666666667
"Min","MFTHGm","Med",203,0.624206349206349,39
"Min","MFTHGm","Min",-740,0.562161133392751,88
"Min","MFTHGm , OddO2.5","Low",-1016.33333333333,0.507688492063492,184
"Min","MFTHGm , OddO2.5","Max",-151,0.558134920634921,23.6666666666667
"Min","MFTHGm , OddO2.5","Med",185,0.548478835978836,105.333333333333
"Min","MFTHGm , OddO2.5","Min",-2016,0.497992530345472,267
"Min","MFTHGt","Low",-700.333333333333,0.541084368530021,65
"Min","MFTHGt","Max",24.3333333333333,0.753174603174603,11.3333333333333
"Min","MFTHGt","Med",222,0.570159602302459,39
"Min","MFTHGt","Min",-1367,0.473074920757777,94.6666666666667
"Min","MFTHGt , MFTAGm","Low",-688.666666666667,0.492561264271791,89.3333333333333
"Min","MFTHGt , MFTAGm","Max",248.333333333333,0.798115079365079,16.3333333333333
"Min","MFTHGt , MFTAGm","Med",288,0.576643990929705,50.3333333333333
"Min","MFTHGt , MFTAGm","Min",-1181,0.494594561962716,129.333333333333
"Min","MFTHGt , MFTAGm , MFTHGm","Low",-681.333333333333,0.537896825396825,104.666666666667
"Min","MFTHGt , MFTAGm , MFTHGm","Max",258.666666666667,0.754861111111111,21.3333333333333
"Min","MFTHGt , MFTAGm , MFTHGm","Med",344.666666666667,0.618424036281179,60.3333333333333
"Min","MFTHGt , MFTAGm , MFTHGm","Min",-1220,0.537414410208528,150.666666666667
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-739,0.521643518518519,183.666666666667
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",43,0.610449735449735,22.6666666666667
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",361.666666666667,0.567054043839758,103.333333333333
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-1620.33333333333,0.510177404295051,262.666666666667
"Min","MFTHGt , MFTAGm , OddO2.5","Low",-1063.66666666667,0.492972883597884,173
"Min","MFTHGt , MFTAGm , OddO2.5","Max",254.666666666667,0.622189153439153,22.3333333333333
"Min","MFTHGt , MFTAGm , OddO2.5","Med",250,0.540173847316704,96.6666666666667
"Min","MFTHGt , MFTAGm , OddO2.5","Min",-1882,0.486609088079676,247.333333333333
"Min","MFTHGt , MFTHGm","Low",-498.333333333333,0.518766534391534,88
"Min","MFTHGt , MFTHGm","Max",131.333333333333,0.679861111111111,17.3333333333333
"Min","MFTHGt , MFTHGm","Med",431,0.639332955404384,53
"Min","MFTHGt , MFTHGm","Min",-1070.66666666667,0.531014328808446,127.666666666667
"Min","MFTHGt , MFTHGm , OddO2.5","Low",-777.666666666667,0.516032848324515,181
"Min","MFTHGt , MFTHGm , OddO2.5","Max",23.3333333333333,0.60082671957672,22.3333333333333
"Min","MFTHGt , MFTHGm , OddO2.5","Med",421.333333333333,0.568886999244142,102.333333333333
"Min","MFTHGt , MFTHGm , OddO2.5","Min",-1642.33333333333,0.507061157796452,259.666666666667
"Min","MFTHGt , OddO2.5","Low",-661.333333333333,0.496274729698643,158.333333333333
"Min","MFTHGt , OddO2.5","Max",148.666666666667,0.572023809523809,17
"Min","MFTHGt , OddO2.5","Med",487.333333333333,0.537327024827025,87.3333333333333
"Min","MFTHGt , OddO2.5","Min",-1289,0.492599901913627,231
"Min","OddO2.5","Low",-599.666666666667,0.488330074380799,150.333333333333
"Min","OddO2.5","Max",122.666666666667,0.530753968253968,15
"Min","OddO2.5","Med",428.333333333333,0.520033868248154,81.6666666666667
"Min","OddO2.5","Min",-1383.66666666667,0.485707683746899,224
"Med","MFTAGm","Low",-429.333333333333,0.482326892109501,50.3333333333333
"Med","MFTAGm","Max",87,0.706018518518518,8.66666666666667
"Med","MFTAGm","Med",162.333333333333,0.577380952380952,27
"Med","MFTAGm","Min",-592.666666666667,0.528337399475919,76.3333333333333
"Med","MFTAGm , MFTHGm","Low",-47.6666666666667,0.599243731308949,60.6666666666667
"Med","MFTAGm , MFTHGm","Max",286.666666666667,0.811111111111111,12.6666666666667
"Med","MFTAGm , MFTHGm","Med",440.666666666667,0.716118669690098,36.6666666666667
"Med","MFTAGm , MFTHGm","Min",-228.666666666667,0.609995832054656,91
"Med","MFTAGm , MFTHGm , OddO2.5","Low",-879,0.478689674523008,128.333333333333
"Med","MFTAGm , MFTHGm , OddO2.5","Max",72,0.665277777777778,12.3333333333333
"Med","MFTAGm , MFTHGm , OddO2.5","Med",176,0.517479213907785,66.6666666666667
"Med","MFTAGm , MFTHGm , OddO2.5","Min",-1699.33333333333,0.488174019607843,193.333333333333
"Med","MFTAGm , OddO2.5","Low",-973.333333333333,0.454228011655548,120.333333333333
"Med","MFTAGm , OddO2.5","Max",152,0.569444444444444,12
"Med","MFTAGm , OddO2.5","Med",154.666666666667,0.498767370195942,65
"Med","MFTAGm , OddO2.5","Min",-1870.66666666667,0.452244433126786,181.666666666667
"Med","MFTAGt","Low",-247,0.530787037037037,41
"Med","MFTAGt","Max",-23.3333333333333,0.513888888888889,8.66666666666667
"Med","MFTAGt","Med",-37.6666666666667,0.561813186813187,27.6666666666667
"Med","MFTAGt","Min",-909.333333333333,0.437967914438503,54.6666666666667
"Med","MFTAGt , MFTAGm","Low",-479.333333333333,0.520487121574078,58.3333333333333
"Med","MFTAGt , MFTAGm","Max",59.3333333333333,0.655555555555556,12.3333333333333
