"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate","avgBets"
"Min","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Low",-822.666666666667,0.382009144237405,99.6666666666667
"Min","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Max",-115,0.435185185185185,11.3333333333333
"Min","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Med",-480.333333333333,0.380520669806384,54.6666666666667
"Min","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Min",-952.666666666667,0.404021784666946,136.666666666667
"Min","MFTAGt , MFTHGt , MFTHGm","Low",-213.333333333333,0.499948240165631,87
"Min","MFTAGt , MFTHGt , MFTHGm","Max",-60,0.525,14.3333333333333
"Min","MFTAGt , MFTHGt , MFTHGm","Med",10.6666666666666,0.490192743764172,54.3333333333333
"Min","MFTAGt , MFTHGt , MFTHGm","Min",-514,0.481383468791557,117.333333333333
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Low",-742.666666666667,0.398609673337934,103.666666666667
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Max",144.666666666667,0.522222222222222,11.3333333333333
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Med",-310.666666666667,0.426042211756497,59.6666666666667
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Min",-1226.66666666667,0.387789661319073,140.333333333333
"Min","MFTAGt , MFTHGt , OddO2.5","Low",-46.6666666666668,0.399295491143317,92.3333333333333
"Min","MFTAGt , MFTHGt , OddO2.5","Max",23.3333333333334,0.4375,11.3333333333333
"Min","MFTAGt , MFTHGt , OddO2.5","Med",-144.666666666667,0.405603523460666,53
"Min","MFTAGt , MFTHGt , OddO2.5","Min",-4.00000000000007,0.414271030993042,126.333333333333
"Min","MFTAGt , OddO2.5","Low",19.9999999999999,0.409388658845181,88.6666666666667
"Min","MFTAGt , OddO2.5","Max",37.6666666666667,0.430555555555556,10.6666666666667
"Min","MFTAGt , OddO2.5","Med",-148,0.400933193790337,51.6666666666667
"Min","MFTAGt , OddO2.5","Min",20.6666666666666,0.415262437045525,121.666666666667
"Min","MFTHGm","Low",-675.333333333333,0.502947957839262,50.3333333333333
"Min","MFTHGm","Max",38.3333333333333,0.652777777777778,9.33333333333333
"Min","MFTHGm","Med",-3,0.589285714285714,31.3333333333333
"Min","MFTHGm","Min",-685,0.505200817700818,68.6666666666667
"Min","MFTHGm , OddO2.5","Low",-1486.33333333333,0.336745169082126,89.3333333333333
"Min","MFTHGm , OddO2.5","Max",-135.666666666667,0.481481481481481,7.66666666666667
"Min","MFTHGm , OddO2.5","Med",-850,0.358036804465376,48.6666666666667
"Min","MFTHGm , OddO2.5","Min",-1623.66666666667,0.362746512746513,127
"Min","MFTHGt","Low",-652.666666666667,0.431324874803136,43
"Min","MFTHGt","Max",-25.6666666666667,0.548611111111111,7
"Min","MFTHGt","Med",-118.333333333333,0.519444444444444,26.3333333333333
"Min","MFTHGt","Min",-839.333333333333,0.431417069243156,57
"Min","MFTHGt , MFTAGm","Low",-386,0.490046296296296,60.3333333333333
"Min","MFTHGt , MFTAGm","Max",-103.333333333333,0.494444444444444,10.3333333333333
"Min","MFTHGt , MFTAGm","Med",-112,0.545634920634921,38
"Min","MFTHGt , MFTAGm","Min",-477.333333333333,0.50040404040404,84.3333333333333
"Min","MFTHGt , MFTAGm , MFTHGm","Low",-948.333333333333,0.502618446368446,84
"Min","MFTHGt , MFTAGm , MFTHGm","Max",26.6666666666667,0.616666666666667,16.3333333333333
"Min","MFTHGt , MFTAGm , MFTHGm","Med",-134.666666666667,0.580668934240363,53.3333333333333
"Min","MFTHGt , MFTAGm , MFTHGm","Min",-1256,0.483929057734205,114.333333333333
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-2061.33333333333,0.329483695652174,97
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",-363,0.338425925925926,10
