"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate","avgBets"
2.5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",-408.666666666667,0.506899383685098,105.333333333333
2.5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-793,0.514946264701167,272
2.5,"MFTAGt , MFTHGt , MFTAGm , OddO2.5","Low",-614.666666666667,0.498213327198834,181.666666666667
2.5,"MFTAGt , MFTHGt , MFTAGm , OddO2.5","Max",468.333333333333,0.653373015873016,21.6666666666667
2.5,"MFTAGt , MFTHGt , MFTAGm , OddO2.5","Med",-305.666666666667,0.50175591604163,100.333333333333
2.5,"MFTAGt , MFTHGt , MFTAGm , OddO2.5","Min",-757.333333333333,0.501062327287817,260.333333333333
2.5,"MFTAGt , MFTHGt , MFTHGm","Low",-441.666666666667,0.53112922705314,126
2.5,"MFTAGt , MFTHGt , MFTHGm","Max",-15.6666666666667,0.630379188712522,19.3333333333333
2.5,"MFTAGt , MFTHGt , MFTHGm","Med",-548,0.514497935926507,70.3333333333333
2.5,"MFTAGt , MFTHGt , MFTHGm","Min",-750.333333333333,0.530722137339784,180.666666666667
2.5,"MFTAGt , MFTHGt , MFTHGm , OddO2.5","Low",-623.333333333333,0.511374223602485,189.666666666667
2.5,"MFTAGt , MFTHGt , MFTHGm , OddO2.5","Max",153.333333333333,0.601432980599647,22.6666666666667
2.5,"MFTAGt , MFTHGt , MFTHGm , OddO2.5","Med",-554,0.49704415954416,105.333333333333
2.5,"MFTAGt , MFTHGt , MFTHGm , OddO2.5","Min",-884.666666666667,0.511127498137302,267.666666666667
2.5,"MFTAGt , MFTHGt , OddO2.5","Low",-574.333333333333,0.495566626409018,172.333333333333
2.5,"MFTAGt , MFTHGt , OddO2.5","Max",307,0.588425925925926,17.6666666666667
2.5,"MFTAGt , MFTHGt , OddO2.5","Med",-278.333333333333,0.494943746729461,93.3333333333333
2.5,"MFTAGt , MFTHGt , OddO2.5","Min",-842.333333333333,0.491320299163436,247
2.5,"MFTAGt , OddO2.5","Low",-582.666666666667,0.499144764588605,170
2.5,"MFTAGt , OddO2.5","Max",187,0.575462962962963,16.3333333333333
2.5,"MFTAGt , OddO2.5","Med",-337,0.496939502296645,92
2.5,"MFTAGt , OddO2.5","Min",-678.666666666667,0.49805595638929,247
2.5,"MFTHGm","Low",88,0.59382907752473,79.6666666666667
2.5,"MFTHGm","Max",264,0.823214285714286,13.3333333333333
2.5,"MFTHGm","Med",348.666666666667,0.649420024420024,43.3333333333333
2.5,"MFTHGm","Min",-106.666666666667,0.574721302662479,120
2.5,"MFTHGm , OddO2.5","Low",-108.666666666667,0.531620466221915,184.666666666667
2.5,"MFTHGm , OddO2.5","Max",352.666666666667,0.709656084656085,18.6666666666667
2.5,"MFTHGm , OddO2.5","Med",-129,0.529824408395837,98.6666666666667
2.5,"MFTHGm , OddO2.5","Min",-322.666666666667,0.527341576361184,268.333333333333
2.5,"MFTHGt","Low",315.333333333333,0.543926846100759,71.3333333333333
2.5,"MFTHGt","Max",57.6666666666667,0.564814814814815,11.3333333333333
2.5,"MFTHGt","Med",104.666666666667,0.536752136752137,41.3333333333333
2.5,"MFTHGt","Min",83.6666666666666,0.532116552429052,104.666666666667
2.5,"MFTHGt , MFTAGm","Low",-124,0.536694847020934,101
2.5,"MFTHGt , MFTAGm","Max",69.6666666666667,0.566512345679012,16.6666666666667
2.5,"MFTHGt , MFTAGm","Med",-120.333333333333,0.552177452177452,58
2.5,"MFTHGt , MFTAGm","Min",-719.666666666667,0.513664421997755,143.333333333333
2.5,"MFTHGt , MFTAGm , MFTHGm","Low",45,0.576045261099609,116.666666666667
2.5,"MFTHGt , MFTAGm , MFTHGm","Max",148.333333333333,0.676388888888889,19
2.5,"MFTHGt , MFTAGm , MFTHGm","Med",63.3333333333333,0.593009768009768,65
2.5,"MFTHGt , MFTAGm , MFTHGm","Min",-781,0.537283785568099,170.666666666667
2.5,"MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-441.666666666667,0.52052684801779,186
2.5,"MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",420.666666666667,0.679442239858907,21
2.5,"MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",-358.666666666667,0.515657887086459,102.666666666667
2.5,"MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-905.333333333333,0.51570277942827,267.666666666667
2.5,"MFTHGt , MFTAGm , OddO2.5","Low",-469.666666666667,0.503015729238555,176
2.5,"MFTHGt , MFTAGm , OddO2.5","Max",492,0.662169312169312,18.3333333333333
2.5,"MFTHGt , MFTAGm , OddO2.5","Med",-274.666666666667,0.505312808884237,96.3333333333333
2.5,"MFTHGt , MFTAGm , OddO2.5","Min",-647.333333333333,0.505688773826029,254
2.5,"MFTHGt , MFTHGm","Low",124,0.576404704393835,108
2.5,"MFTHGt , MFTHGm","Max",111,0.725022045855379,19
2.5,"MFTHGt , MFTHGm","Med",89.3333333333333,0.59603465317751,61.3333333333333
