"NVariables","Variables","Profit","Accuracy","NumBets","TrainingDataSize","Threshold"
1,"OddO2.5",-53.0000000000003,0.482692307692308,4,"Med",2.5
2,"MFTAGt , MFTHGt",-469,0.517857142857143,4,"Med",2.5
2,"MFTAGt , MFTAGm",945,0.632142857142857,4,"Med",2.5
2,"MFTAGt , MFTHGm",642,0.613095238095238,4,"Med",2.5
2,"MFTAGt , OddO2.5",242,0.522619047619048,4,"Med",2.5
2,"MFTHGt , MFTAGm",744,0.619230769230769,4,"Med",2.5
2,"MFTHGt , MFTHGm",998,0.630952380952381,4,"Med",2.5
2,"MFTHGt , OddO2.5",-431,0.505128205128205,4,"Med",2.5
2,"MFTAGm , MFTHGm",343,0.566666666666667,4,"Med",2.5
2,"MFTAGm , OddO2.5",87.9999999999999,0.551190476190476,4,"Med",2.5
2,"MFTHGm , OddO2.5",883,0.596853741496599,4,"Med",2.5
3,"MFTAGt , MFTHGt , MFTAGm",474,0.608333333333333,4,"Med",2.5
3,"MFTAGt , MFTHGt , MFTHGm",1262,0.654421768707483,4,"Med",2.5
3,"MFTAGt , MFTHGt , OddO2.5",-399,0.541666666666667,4,"Med",2.5
3,"MFTAGt , MFTAGm , MFTHGm",1243,0.672161172161172,4,"Med",2.5
3,"MFTAGt , MFTAGm , OddO2.5",565,0.646428571428571,4,"Med",2.5
3,"MFTAGt , MFTHGm , OddO2.5",1506,0.604421768707483,4,"Med",2.5
3,"MFTHGt , MFTAGm , MFTHGm",943,0.599149659863946,4,"Med",2.5
3,"MFTHGt , MFTAGm , OddO2.5",820,0.589285714285714,4,"Med",2.5
3,"MFTHGt , MFTHGm , OddO2.5",1098,0.654761904761905,4,"Med",2.5
3,"MFTAGm , MFTHGm , OddO2.5",604,0.610714285714286,4,"Med",2.5
4,"MFTAGt , MFTHGt , MFTAGm , MFTHGm",1656,0.696520146520146,4,"Med",2.5
4,"MFTAGt , MFTHGt , MFTAGm , OddO2.5",308,0.598809523809524,4,"Med",2.5
4,"MFTAGt , MFTHGt , MFTHGm , OddO2.5",611,0.597619047619048,4,"Med",2.5
4,"MFTAGt , MFTAGm , MFTHGm , OddO2.5",1663,0.73003663003663,4,"Med",2.5
4,"MFTHGt , MFTAGm , MFTHGm , OddO2.5",913,0.605102040816327,4,"Med",2.5
5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5",1593,0.736446886446886,4,"Med",2.5
1,"MFTAGt",-471,0.35,5,"Max",2.5
1,"MFTHGt",241,0.854166666666667,5,"Max",2.5
1,"MFTAGm",766,0.958333333333333,5,"Max",2.5
1,"MFTHGm",92,0.583333333333333,5,"Max",2.5
1,"OddO2.5",120,0.523809523809524,5,"Max",2.5
2,"MFTAGt , MFTHGt",-517,0.466666666666667,5,"Max",2.5
2,"MFTAGt , MFTAGm",460,0.7625,5,"Max",2.5
2,"MFTAGt , MFTHGm",106,0.5875,5,"Max",2.5
2,"MFTAGt , OddO2.5",-551,0.35,5,"Max",2.5
2,"MFTHGt , MFTAGm",746,0.95,5,"Max",2.5
2,"MFTHGt , MFTHGm",254,0.7,5,"Max",2.5
2,"MFTHGt , OddO2.5",143,0.708333333333333,5,"Max",2.5
2,"MFTAGm , MFTHGm",298,0.675,5,"Max",2.5
2,"MFTAGm , OddO2.5",686,0.845833333333333,5,"Max",2.5
2,"MFTHGm , OddO2.5",272,0.636904761904762,5,"Max",2.5
3,"MFTAGt , MFTHGt , MFTAGm",241,0.720833333333333,5,"Max",2.5
3,"MFTAGt , MFTHGt , MFTHGm",122,0.634523809523809,5,"Max",2.5
3,"MFTAGt , MFTHGt , OddO2.5",-517,0.466666666666667,5,"Max",2.5
3,"MFTAGt , MFTAGm , MFTHGm",562,0.745238095238095,5,"Max",2.5
3,"MFTAGt , MFTAGm , OddO2.5",370,0.741666666666667,5,"Max",2.5
3,"MFTAGt , MFTHGm , OddO2.5",-84,0.551190476190476,5,"Max",2.5
3,"MFTHGt , MFTAGm , MFTHGm",528,0.728571428571429,5,"Max",2.5
