"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate"
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Low",-777.333333333333,0.516809964726631
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Max",99.3333333333333,0.613128306878307
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Med",217.333333333333,0.55551776266062
"Min","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Min",-1440,0.512422191098662
"Min","MFTAGt , MFTHGt , OddO2.5","Low",-751,0.486005195153746
"Min","MFTAGt , MFTHGt , OddO2.5","Max",137.333333333333,0.537169312169312
"Min","MFTAGt , MFTHGt , OddO2.5","Med",360.333333333333,0.521991104133961
"Min","MFTAGt , MFTHGt , OddO2.5","Min",-1566.66666666667,0.479543332484509
"Min","MFTAGt , OddO2.5","Low",-618.333333333333,0.487886521355724
"Min","MFTAGt , OddO2.5","Max",113.333333333333,0.523280423280423
"Min","MFTAGt , OddO2.5","Med",394,0.517380370951799
"Min","MFTAGt , OddO2.5","Min",-1296,0.485155358439672
"Min","MFTHGm","Low",-636.666666666667,0.546759259259259
"Min","MFTHGm","Max",17,0.615277777777778
"Min","MFTHGm","Med",203,0.624206349206349
"Min","MFTHGm","Min",-740,0.562161133392751
"Min","MFTHGm , OddO2.5","Low",-1016.33333333333,0.507688492063492
"Min","MFTHGm , OddO2.5","Max",-151,0.558134920634921
"Min","MFTHGm , OddO2.5","Med",185,0.548478835978836
"Min","MFTHGm , OddO2.5","Min",-2016,0.497992530345472
"Min","MFTHGt","Low",-700.333333333333,0.541084368530021
"Min","MFTHGt","Max",24.3333333333333,0.753174603174603
"Min","MFTHGt","Med",222,0.570159602302459
"Min","MFTHGt","Min",-1367,0.473074920757777
"Min","MFTHGt , MFTAGm","Low",-688.666666666667,0.492561264271791
"Min","MFTHGt , MFTAGm","Max",248.333333333333,0.798115079365079
"Min","MFTHGt , MFTAGm","Med",288,0.576643990929705
"Min","MFTHGt , MFTAGm","Min",-1181,0.494594561962716
