"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate"
"Max","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",188,0.541880341880342
"Max","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-562.333333333333,0.511610570453729
"Max","MFTHGt , MFTAGm , OddO2.5","Low",-519,0.460425685425685
"Max","MFTHGt , MFTAGm , OddO2.5","Max",120.333333333333,0.777777777777778
"Max","MFTHGt , MFTAGm , OddO2.5","Med",123,0.50787037037037
"Max","MFTHGt , MFTAGm , OddO2.5","Min",-930.333333333333,0.46557881773399
"Max","MFTHGt , MFTHGm","Low",-217,NA
"Max","MFTHGt , MFTHGm","Max",-84.6666666666667,NA
"Max","MFTHGt , MFTHGm","Med",134.666666666667,NA
"Max","MFTHGt , MFTHGm","Min",-251.666666666667,0.564949494949495
"Max","MFTHGt , MFTHGm , OddO2.5","Low",-561,0.463964175920698
"Max","MFTHGt , MFTHGm , OddO2.5","Max",17,0.569444444444444
"Max","MFTHGt , MFTHGm , OddO2.5","Med",55.6666666666666,0.496581196581197
"Max","MFTHGt , MFTHGm , OddO2.5","Min",-844.666666666667,0.483419192955831
"Max","MFTHGt , OddO2.5","Low",-449.333333333333,0.44963768115942
"Max","MFTHGt , OddO2.5","Max",59.3333333333333,0.666666666666667
"Max","MFTHGt , OddO2.5","Med",215.333333333333,0.489245014245014
"Max","MFTHGt , OddO2.5","Min",-1059.66666666667,0.432438146344396
"Max","OddO2.5","Low",-476.666666666667,0.444616977225673
"Max","OddO2.5","Max",122.666666666667,0.777777777777778
"Max","OddO2.5","Med",249.666666666667,0.493434343434343
"Max","OddO2.5","Min",-1096.66666666667,0.428410060668125
