Campeonato,Temporada,MLucro,MAcuracia,NApostas
Ingles,20-21,19,0.611111111111111,2
Ingles,21-22,522,0.616071428571429,5
Ingles,22-23,752,0.690816326530612,5
Belga,20-21,143,0.66984126984127,7
Belga,21-22,641,0.706349206349206,6
Belga,22-23,408,0.669973544973545,9
Espanhol,20-21,409,0.566666666666667,5
Espanhol,21-22,-817,0.449404761904762,3
Espanhol,22-23,929,0.696428571428571,2
